wmpid,full_name,opponents,opponent_names
WMPID4126,Cicely Davis,WMPID1157,Cicely Davis|Ilhan Omar
WMPID3734,Jeanne Hendricks,WMPID897,Jeanne Hendricks|Tom Emmer
WMPID2853,Travis Johnson,WMPID375|WMPID4880,Michelle Fischbach|Travis Johnson|Jill Abahsain
WMPID4880,Jill Abahsain,WMPID375|WMPID2853,Michelle Fischbach|Travis Johnson|Jill Abahsain
WMPID3325,Jennifer Schultz,WMPID1158,Jennifer Schultz|Pete Stauber
WMPID4591,Andrew Jr Jones,WMPID4987|WMPID1159,Andrew Jr Jones|George Zsidisin|Cori Bush
WMPID4987,George Zsidisin,WMPID4591|WMPID1159,Andrew Jr Jones|George Zsidisin|Cori Bush
WMPID811,Jim Higgins,WMPID2441|WMPID900,Jim Higgins|Randi Mccallian Mccallian|Jason Smith
WMPID812,Ann L Wagner,WMPID4783|WMPID2375|WMPID4023,Ann L Wagner|Bill Slantz|Wesley Gilman Smith|Patricia Washburn Gunby
WMPID4783,Bill Slantz,WMPID812|WMPID2375|WMPID4023,Ann L Wagner|Bill Slantz|Wesley Gilman Smith|Patricia Washburn Gunby
WMPID2375,Wesley Gilman Smith,WMPID812|WMPID4783|WMPID4023,Ann L Wagner|Bill Slantz|Wesley Gilman Smith|Patricia Washburn Gunby
WMPID4023,Patricia Washburn Gunby,WMPID812|WMPID4783|WMPID2375,Ann L Wagner|Bill Slantz|Wesley Gilman Smith|Patricia Washburn Gunby
WMPID4440,Bethany Eileen Mann,WMPID1162,Bethany Eileen Mann|Blaine Luetkemeyer
WMPID4330,Mark Alford,WMPID4807|WMPID4795,Mark Alford|Randy Langkraehr|Jack Truman
WMPID5054,Andy Maidment,WMPID392|WMPID3060,Sam Graves|Andy Maidment|Henry Robert Martin
WMPID3346,Eric Burlison,WMPID3296|WMPID899,Eric Burlison|Kristen Radaker-Sheafer|Kevin Craig
WMPID3296,Kristen Radaker-Sheafer,WMPID3346|WMPID899,Eric Burlison|Kristen Radaker-Sheafer|Kevin Craig
WMPID2441,Randi Mccallian Mccallian,WMPID811|WMPID900,Jim Higgins|Randi Mccallian Mccallian|Jason Smith
WMPID4088,James Marion Jr. Mccay,WMPID3880|WMPID994,James Marion Jr. Mccay|Dianne Dodson Black|Trent Kelly
WMPID3880,Dianne Dodson Black,WMPID4088|WMPID994,James Marion Jr. Mccay|Dianne Dodson Black|Trent Kelly
WMPID3236,Shuwaski Young,WMPID1165,Shuwaski Young|Michael Guest
WMPID2475,Alden Patrick Johnson,WMPID3543|WMPID3802|WMPID2749|WMPID4871,Alden Patrick Johnson|Jesse Graham Hudson|Walter Michael Ezell|Aaron Payton Lee|Johnny Dupree
WMPID3543,Jesse Graham Hudson,WMPID2475|WMPID3802|WMPID2749|WMPID4871,Alden Patrick Johnson|Jesse Graham Hudson|Walter Michael Ezell|Aaron Payton Lee|Johnny Dupree
WMPID3802,Walter Michael Ezell,WMPID2475|WMPID3543|WMPID2749|WMPID4871,Alden Patrick Johnson|Jesse Graham Hudson|Walter Michael Ezell|Aaron Payton Lee|Johnny Dupree
WMPID2749,Aaron Payton Lee,WMPID2475|WMPID3543|WMPID3802|WMPID4871,Alden Patrick Johnson|Jesse Graham Hudson|Walter Michael Ezell|Aaron Payton Lee|Johnny Dupree
WMPID4871,Johnny Dupree,WMPID2475|WMPID3543|WMPID3802|WMPID2749,Alden Patrick Johnson|Jesse Graham Hudson|Walter Michael Ezell|Aaron Payton Lee|Johnny Dupree
WMPID4833,John Lamb,WMPID2524|WMPID2527,John Lamb|Monica Tranel|Ryan Zinke
WMPID2752,Curt Andrew Sr. Zygmond,WMPID1739|WMPID1677|WMPID2996|WMPID902,Sam Rankin|Curt Andrew Sr. Zygmond|Penny Ronning|Gary Buchanan|Matt Rosendale
WMPID2524,Monica Tranel,WMPID4833|WMPID2527,John Lamb|Monica Tranel|Ryan Zinke
WMPID1677,Penny Ronning,WMPID1739|WMPID2752|WMPID2996|WMPID902,Sam Rankin|Curt Andrew Sr. Zygmond|Penny Ronning|Gary Buchanan|Matt Rosendale
